116,194
5436,9474
3203,5056
3167,5074
5416,8832
6564,23325
1172,1667
7656,13872
7713,105342
7170,14729
8967,19249
7974,22263
1477,2313
3702,5913
6997,12429
7363,14015
7266,73666
419,615
649,1044
7474,16394
8595,15959
9660,25317
724,1174
7753,14717
8048,45661
5451,10248
2518,3864
542,820
3868,6302
4674,8493
5303,9315
5396,9220
4987,8380
4361,6879
8217,15098
1840,2893
11,14
8841,63824
5300,9441
6452,10572
6870,11646
2545,3882
8873,18296
400,642
8157,17300
8029,19710
96,160
10486,33338
8602,18913
8504,16284
9994,59662
8910,35824
7203,87501
7408,14445
20,28
4871,8117
7450,15921
1903,2883
10018,25655
3260,5221
7874,14533
8750,18978
6138,10230
9513,27528
6260,12748
9816,21673
7420,13135
8042,17000
9876,20104
5814,9493
10907,42170
73,109
1058,1690
10685,28265
2312,3728
6327,10904
8575,16391
2108,3293
1704,2254
3045,4667
7587,14303
3328,5228
4564,7024
11176,34812
5184,9289
7461,16019
3105,5222
3800,6120
6604,11950
4223,6545
1579,2394
8881,26148
8628,49919
2668,4219
5109,8217
10117,25833
5081,8100
883,1316
1065,1441
5032,8191
6512,11393
6056,10470
8860,32676
74,117
9483,35979
5072,8617
6607,18040
7152,13501
9888,51411
12044,35821
3095,4591
7712,58212
824,1309
6318,10288
2876,4273
6053,10237
9438,22848
6542,66721
6947,12998
1094,1684
4253,6727
5937,10827
7703,13720
10488,42460
7025,11796
8969,58313
1834,3007
3622,5851
5456,10209
5894,10229
7139,67134
9487,27976
11330,31212
8832,17212
9426,24025
7315,58644
1362,2201
7365,97627
10184,39192
4772,7929
10751,36445
1730,2664
3112,4844
8260,16808
6280,10779
12088,37064
10418,30310
8730,19698
5727,9571
6937,118124
11862,47816
8314,81502
6334,10951
9578,45198
11870,42180
9000,17819
5490,9190
2693,4386
6793,75639
2062,3182
10090,40668
9547,50767
9354,26128
5472,8863
4453,6853
8042,22280
6774,11570
6538,57003
7822,64326
4455,7211
3904,6130
318,511
1340,2054
4930,7904
7677,19832
11022,34275
8632,35143
2147,3305
9935,44570
6434,10853
8767,23732
493,761
9118,67357
5411,8747
10109,23032
4729,7422
7038,12655
4649,7257
7805,26041
6493,15727
10068,45516
8459,20884
4960,8315
5087,8102
3629,5747
8565,15871
6543,11002
8477,20208
9786,23662
9018,24055
4181,7147
10270,52878
