time_exp_zero,R_exp
0.000000,3402.000000
30.000000,4182.000000
60.000000,5536.000000
90.000000,6329.000000
120.000000,6936.000000
150.000000,8061.000000
180.000000,9334.000000
210.000000,9991.000000
240.000000,10904.000000
270.000000,13224.000000
300.000000,11620.000000
330.000000,13989.000000
