7.305389221556886081e-01,1.670000000000000000e+02,1.670000000000000000e+02
5.612914670924250560e-01,1.127400000000000000e+04,1.127400000000000000e+04
4.881483761736186144e-01,1.299400000000000000e+04,1.299400000000000000e+04
4.739194499017681528e-01,2.036000000000000000e+04,2.036000000000000000e+04
5.236900455128953302e-01,1.713800000000000000e+04,1.713800000000000000e+04
4.853836122582047552e-01,1.840400000000000000e+04,1.840400000000000000e+04
5.143640555867140529e-01,1.604700000000000000e+04,1.604700000000000000e+04
4.663824735592488890e-01,1.853200000000000000e+04,1.853200000000000000e+04
4.251426221925271309e-01,1.945700000000000000e+04,1.945700000000000000e+04
3.579641847313854708e-01,2.652500000000000000e+04,2.652500000000000000e+04
6.025336500395882533e-01,8.841000000000000000e+03,8.841000000000000000e+03
6.516166060837956797e-01,5.227000000000000000e+03,5.227000000000000000e+03
2.143896391319494166e-01,4.879900000000000000e+04,4.879900000000000000e+04
5.914139523274678512e-01,8.013000000000000000e+03,8.013000000000000000e+03
1.404800133452884792e-01,4.795700000000000000e+04,4.795700000000000000e+04
4.508541461135053829e-01,1.925900000000000000e+04,1.925900000000000000e+04
2.724081770189823448e-01,3.561200000000000000e+04,3.561200000000000000e+04
5.869565217391304879e-01,2.300000000000000000e+02,2.300000000000000000e+02
6.067858515955402154e-01,1.040400000000000000e+04,1.040400000000000000e+04
3.848348549946294384e-01,2.979200000000000000e+04,2.979200000000000000e+04
7.903225806451612545e-01,6.200000000000000000e+01,6.200000000000000000e+01
1.091206878902651195e-01,6.838300000000000000e+04,6.838300000000000000e+04
4.231071280085000330e-01,2.164700000000000000e+04,2.164700000000000000e+04
5.876620761858741826e-01,1.241700000000000000e+04,1.241700000000000000e+04
6.074468085106382587e-01,9.400000000000000000e+02,9.400000000000000000e+02
6.721311475409835756e-01,6.100000000000000000e+01,6.100000000000000000e+01
6.326383896477354440e-01,4.173000000000000000e+03,4.173000000000000000e+03
5.994560514278649554e-01,8.089000000000000000e+03,8.089000000000000000e+03
4.761904761904761640e-01,4.200000000000000000e+01,4.200000000000000000e+01
3.145164121467439178e-01,2.848500000000000000e+04,2.848500000000000000e+04
1.367383098374547468e-01,6.490500000000000000e+04,6.490500000000000000e+04
7.305389221556886081e-01,1.670000000000000000e+02,1.670000000000000000e+02
5.612914670924250560e-01,1.127400000000000000e+04,1.127400000000000000e+04
4.881483761736186144e-01,1.299400000000000000e+04,1.299400000000000000e+04
4.739194499017681528e-01,2.036000000000000000e+04,2.036000000000000000e+04
5.236900455128953302e-01,1.713800000000000000e+04,1.713800000000000000e+04
4.853836122582047552e-01,1.840400000000000000e+04,1.840400000000000000e+04
5.143640555867140529e-01,1.604700000000000000e+04,1.604700000000000000e+04
4.663824735592488890e-01,1.853200000000000000e+04,1.853200000000000000e+04
4.251426221925271309e-01,1.945700000000000000e+04,1.945700000000000000e+04
3.579641847313854708e-01,2.652500000000000000e+04,2.652500000000000000e+04
6.025336500395882533e-01,8.841000000000000000e+03,8.841000000000000000e+03
6.516166060837956797e-01,5.227000000000000000e+03,5.227000000000000000e+03
